"Constraint","Variables","Density_Network","Cardinality","F1","Precision","Recall","Time"
1,15,0.2,3,0.98,0.9916666666666667,0.9689999999999999,140.553
1,15,0.2,4,0.9283333333333333,0.8786666666666665,0.9843333333333333,191.37633333333332
1,15,0.3,2,0.9643333333333333,1,0.931,80.73566666666667
1,15,0.3,3,0.948,1,0.9053333333333333,543.043
1,15,0.3,4,0.7803333333333332,0.643,1,144.65233333333333
1,15,0.4,2,0.9066666666666666,1,0.831,114.19633333333331
1,15,0.4,3,0.867,0.9889999999999999,0.778,218.18599999999998
1,15,0.4,4,0.7666666666666666,0.9386666666666665,0.65,251.6943333333333
1,20,0.1,2,1,1,1,108.87466666666667
1,20,0.1,3,0.964,0.9309999999999999,1,281.87299999999993
1,20,0.2,2,0.9726666666666666,1,0.9476666666666667,213.00866666666664
1,20,0.2,3,0.9846666666666666,0.9946666666666666,0.9749999999999999,384.07966666666664
1,20,0.3,2,0.9099999999999999,1,0.8356666666666666,296.64133333333336
1,20,0.3,3,0.8183333333333332,0.9913333333333332,0.702,454.9576666666666
1,20,0.4,2,0.7146666666666666,1,0.5563333333333333,311.606
1,20,0.4,3,0.5236666666666666,0.972,0.3616666666666667,366.14633333333336
